Age,price_age,selling_price,km_driven,owner
2,823822.0285,550000,20000,First Owner
8,383616.7757,100000,50000,Second Owner
8,383616.7757,500000,100000,First Owner
4,643706.7143,800000,70000,Second Owner
4,643706.7143,840000,70000,Second Owner
4,643706.7143,490000,50000,First Owner
10,278209.7113,125000,81000,Second Owner
8,383616.7757,400000,120000,Third Owner
5,507648.5144,1000000,3600,First Owner
5,507648.5144,530000,14272,First Owner
3,736892.2615,840000,49213,First Owner
5,507648.5144,229999,40000,First Owner
8,383616.7757,130000,80000,First Owner
5,507648.5144,200000,70000,First Owner
9,298903.3151,120000,70000,First Owner
17,78315.78947,75000,57000,First Owner
4,643706.7143,250000,120000,First Owner
15,114381.1897,100000,30000,First Owner
7,441215.578,280000,3240,Second Owner
5,507648.5144,540000,5000,First Owner
2,823822.0285,700000,10000,First Owner
5,507648.5144,525000,100000,First Owner
4,643706.7143,430000,80000,First Owner
18,88571.42857,65000,70000,First Owner
2,823822.0285,800000,35000,First Owner
13,165466.0097,75000,114000,Second Owner
12,179747.4918,210000,53772,First Owner
8,383616.7757,195000,140000,Second Owner
5,507648.5144,400000,120000,First Owner
8,383616.7757,170000,60000,First Owner
4,643706.7143,225000,25000,First Owner
0,779843.75,240000,120000,First Owner
5,507648.5144,300000,175000,First Owner
9,298903.3151,99000,100000,Third Owner
6,518887.0548,620000,36000,First Owner
7,441215.578,500000,30000,First Owner
10,278209.7113,2550000,40000,Second Owner
7,441215.578,260000,70000,Second Owner
3,736892.2615,550000,60000,First Owner
9,298903.3151,150000,155500,First Owner
9,298903.3151,350000,50000,Second Owner
4,643706.7143,320000,40000,First Owner
5,507648.5144,400000,100000,Third Owner
8,383616.7757,175000,80000,Third Owner
9,298903.3151,120000,90000,Second Owner
7,441215.578,320000,90000,Second Owner
14,153494.2184,70000,110000,Third Owner
1,870222.1961,810000,15000,First Owner
13,165466.0097,95000,100000,Second Owner
0,779843.75,282000,40000,First Owner
16,125530.303,80000,60000,Second Owner
7,441215.578,72000,25000,First Owner
4,643706.7143,600000,25000,First Owner
5,507648.5144,640000,23000,First Owner
2,823822.0285,380000,22155,First Owner
2,823822.0285,650000,70000,First Owner
11,242653.8077,150000,60000,Second Owner
11,242653.8077,280000,110000,Second Owner
2,823822.0285,430000,30000,First Owner
1,870222.1961,800000,15000,First Owner
17,78315.78947,75000,100000,Second Owner
4,643706.7143,650000,70000,First Owner
3,736892.2615,390000,24000,First Owner
15,114381.1897,100000,120000,Second Owner
7,441215.578,1500000,35000,First Owner
13,165466.0097,175000,78380,First Owner
8,383616.7757,434999,110000,Second Owner
10,278209.7113,170000,90000,Third Owner
9,298903.3151,190000,90000,Third Owner
11,242653.8077,250000,150000,Third Owner
11,242653.8077,229999,230000,Third Owner
14,153494.2184,140000,70000,Third Owner
3,736892.2615,600000,80362,First Owner
8,383616.7757,280000,110000,Third Owner
8,383616.7757,150000,60000,First Owner
5,507648.5144,650000,50000,First Owner
6,518887.0548,210000,40000,Second Owner
3,736892.2615,2900000,40000,First Owner
7,441215.578,425000,20000,First Owner
6,518887.0548,265000,55000,First Owner
2,823822.0285,890000,1136,First Owner
7,441215.578,365000,55000,First Owner
6,518887.0548,350000,43000,First Owner
4,643706.7143,685000,60000,First Owner
2,823822.0285,940000,2650,First Owner
3,736892.2615,1000000,40000,First Owner
1,870222.1961,1150000,15000,First Owner
4,643706.7143,450000,115962,Second Owner
5,507648.5144,590000,65000,First Owner
3,736892.2615,800000,40000,First Owner
8,383616.7757,385000,58000,First Owner
7,441215.578,2000000,15000,First Owner
8,383616.7757,235000,54000,First Owner
3,736892.2615,640000,56000,First Owner
14,153494.2184,52000,120000,Third Owner
8,383616.7757,140000,70000,Second Owner
12,179747.4918,120000,90000,Second Owner
12,179747.4918,89999,213000,First Owner
8,383616.7757,180000,120000,First Owner
3,736892.2615,1500000,20000,First Owner
3,736892.2615,700000,10000,First Owner
8,383616.7757,285000,80000,Second Owner
5,507648.5144,390000,90000,First Owner
12,179747.4918,125000,80000,First Owner
12,179747.4918,225000,60000,Second Owner
9,298903.3151,175000,139000,Second Owner
9,298903.3151,1075000,160000,Second Owner
6,518887.0548,300000,150000,First Owner
11,242653.8077,90000,120000,First Owner
9,298903.3151,120000,120000,Second Owner
8,383616.7757,220000,100000,Second Owner
5,507648.5144,300000,140000,First Owner
10,278209.7113,180000,87000,Second Owner
7,441215.578,170000,70000,First Owner
5,507648.5144,300000,50000,Second Owner
6,518887.0548,1050000,70000,First Owner
2,823822.0285,465000,25000,First Owner
9,298903.3151,130000,80000,Second Owner
2,823822.0285,434999,10000,First Owner
2,823822.0285,500000,32000,First Owner
2,823822.0285,200000,10000,First Owner
3,736892.2615,625000,52000,First Owner
14,153494.2184,110000,120000,Third Owner
1,870222.1961,800000,11240,First Owner
3,736892.2615,490000,66000,First Owner
3,736892.2615,880000,64000,First Owner
7,441215.578,290000,49000,First Owner
14,153494.2184,115999,100000,Second Owner
2,823822.0285,360000,26500,First Owner
18,88571.42857,65000,100000,Second Owner
3,736892.2615,685000,72000,First Owner
11,242653.8077,300000,50000,First Owner
3,736892.2615,680000,44000,First Owner
3,736892.2615,1000000,60000,Second Owner
18,88571.42857,100000,120000,First Owner
10,278209.7113,160000,130000,First Owner
3,736892.2615,450000,70000,First Owner
6,518887.0548,600000,20000,First Owner
11,242653.8077,180000,60000,Second Owner
13,165466.0097,100000,195000,First Owner
10,278209.7113,120000,90000,Second Owner
14,153494.2184,130000,80000,Third Owner
9,298903.3151,160000,155000,First Owner
1,870222.1961,860000,35000,First Owner
2,823822.0285,650000,20000,Second Owner
10,278209.7113,100000,80000,Second Owner
3,736892.2615,282000,20000,First Owner
10,278209.7113,270000,110000,Second Owner
7,441215.578,550000,29000,First Owner
7,441215.578,450000,120000,First Owner
9,298903.3151,430000,70000,Second Owner
7,441215.578,350000,40000,First Owner
3,736892.2615,350000,20000,First Owner
7,441215.578,229999,50000,Second Owner
7,441215.578,110000,50000,First Owner
8,383616.7757,395000,49000,Second Owner
9,298903.3151,650000,70000,Second Owner
9,298903.3151,350000,90000,Second Owner
0,779843.75,1400000,25000,First Owner
2,823822.0285,360000,4000,First Owner
2,823822.0285,1300000,10000,First Owner
5,507648.5144,800000,15000,First Owner
2,823822.0285,229999,30000,First Owner
6,518887.0548,315000,41000,First Owner
8,383616.7757,125000,28000,First Owner
1,870222.1961,700000,16000,First Owner
5,507648.5144,160000,70000,First Owner
3,736892.2615,530000,10832,First Owner
2,823822.0285,624000,14681,First Owner
11,242653.8077,250000,50000,First Owner
4,643706.7143,585000,51000,First Owner
5,507648.5144,500000,25000,First Owner
6,518887.0548,350000,30000,First Owner
6,518887.0548,495000,80000,First Owner
3,736892.2615,500000,50000,First Owner
5,507648.5144,430000,200000,First Owner
7,441215.578,345000,44000,First Owner
5,507648.5144,500000,10000,First Owner
1,870222.1961,425000,19600,First Owner
15,114381.1897,80000,40000,Second Owner
9,298903.3151,106000,50000,First Owner
11,242653.8077,180000,46730,First Owner
5,507648.5144,250000,40000,Second Owner
9,298903.3151,350000,80000,First Owner
18,88571.42857,60000,80000,Second Owner
2,823822.0285,900000,24000,First Owner
3,736892.2615,700000,21170,First Owner
7,441215.578,2000000,167223,First Owner
9,298903.3151,1375000,60000,First Owner
4,643706.7143,1800000,141440,First Owner
13,165466.0097,160000,120000,Third Owner
8,383616.7757,525000,140000,First Owner
8,383616.7757,850000,212814,First Owner
1,870222.1961,800000,30000,First Owner
3,736892.2615,700000,88635,First Owner
2,823822.0285,800000,25000,First Owner
3,736892.2615,575000,20000,Second Owner
8,383616.7757,350000,110000,Second Owner
12,179747.4918,250000,120000,Third Owner
9,298903.3151,600000,149674,Second Owner
13,165466.0097,370000,100000,Third Owner
14,153494.2184,80000,120000,Third Owner
17,78315.78947,50000,120000,Second Owner
2,823822.0285,900000,25000,First Owner
6,518887.0548,300000,35000,Second Owner
18,88571.42857,125000,40000,First Owner
5,507648.5144,490000,60000,Second Owner
8,383616.7757,300000,50000,Second Owner
4,643706.7143,350000,25000,First Owner
1,870222.1961,755000,8000,First Owner
3,736892.2615,720000,60000,First Owner
14,153494.2184,229999,200000,Third Owner
2,823822.0285,1100000,20000,First Owner
7,441215.578,400000,100000,First Owner
5,507648.5144,350000,70000,Second Owner
8,383616.7757,159000,68000,First Owner
3,736892.2615,550000,38000,First Owner
7,441215.578,335000,80000,First Owner
6,518887.0548,185000,72000,First Owner
8,383616.7757,229999,75000,First Owner
6,518887.0548,225000,43000,First Owner
13,165466.0097,250000,120000,Second Owner
5,507648.5144,400000,100000,First Owner
6,518887.0548,470000,163000,First Owner
2,823822.0285,300000,25000,First Owner
9,298903.3151,145000,25000,First Owner
13,165466.0097,100000,90000,Second Owner
6,518887.0548,500000,70000,Second Owner
10,278209.7113,130000,98000,Second Owner
10,278209.7113,240000,81925,First Owner
7,441215.578,150000,80000,Second Owner
3,736892.2615,270000,40000,First Owner
6,518887.0548,400000,90000,First Owner
8,383616.7757,200000,46000,First Owner
8,383616.7757,550000,80000,First Owner
2,823822.0285,325000,35000,First Owner
3,736892.2615,860000,82080,First Owner
8,383616.7757,600000,200000,First Owner
11,242653.8077,125000,70000,First Owner
20,76300,60000,40000,Third Owner
10,278209.7113,300000,120000,Third Owner
13,165466.0097,190000,60000,Third Owner
7,441215.578,400000,110000,First Owner
9,298903.3151,260000,97000,Second Owner
3,736892.2615,400000,30000,First Owner
10,278209.7113,250000,40000,First Owner
1,870222.1961,600000,10000,First Owner
10,278209.7113,175000,52047,First Owner
9,298903.3151,450000,200000,Third Owner
1,870222.1961,350000,15000,Second Owner
2,823822.0285,800000,50000,First Owner
9,298903.3151,250000,70000,Second Owner
3,736892.2615,600000,90000,First Owner
4,643706.7143,130000,40000,First Owner
14,153494.2184,90000,62009,Second Owner
3,736892.2615,595000,33100,Second Owner
6,518887.0548,190000,40000,Second Owner
21,76428.57143,50000,120000,Second Owner
13,165466.0097,95000,80000,First Owner
4,643706.7143,1000000,70000,First Owner
14,153494.2184,220000,220000,Second Owner
10,278209.7113,400000,50000,First Owner
5,507648.5144,315000,45000,Second Owner
6,518887.0548,1000000,110000,First Owner
6,518887.0548,500000,49000,First Owner
2,823822.0285,1600000,35000,First Owner
3,736892.2615,500000,160000,First Owner
13,165466.0097,70000,180000,Third Owner
13,165466.0097,105000,60000,Second Owner
12,179747.4918,400000,110000,Third Owner
16,125530.303,80000,60000,Third Owner
4,643706.7143,300000,30000,First Owner
3,736892.2615,409999,40000,First Owner
11,242653.8077,250000,70000,First Owner
10,278209.7113,250000,120000,Second Owner
8,383616.7757,215000,80000,Third Owner
5,507648.5144,1400000,120000,First Owner
2,823822.0285,475000,20000,First Owner
2,823822.0285,475000,22000,First Owner
12,179747.4918,75000,35000,Second Owner
7,441215.578,200000,120000,Second Owner
1,870222.1961,575000,8000,First Owner
9,298903.3151,150000,40000,Second Owner
2,823822.0285,850000,10000,First Owner
1,870222.1961,350000,30000,First Owner
9,298903.3151,550000,54000,Second Owner
3,736892.2615,330000,80577,First Owner
3,736892.2615,1044999,25000,First Owner
9,298903.3151,300000,127500,Second Owner
5,507648.5144,235000,40903,First Owner
9,298903.3151,120000,60000,Third Owner
16,125530.303,130000,46000,First Owner
16,125530.303,275000,22288,Second Owner
9,298903.3151,270000,180000,Second Owner
5,507648.5144,500000,30000,Second Owner
5,507648.5144,400000,61690,First Owner
5,507648.5144,600000,64484,First Owner
8,383616.7757,1350000,90000,Second Owner
7,441215.578,400000,75976,Second Owner
9,298903.3151,220000,70000,Second Owner
8,383616.7757,300000,85962,Second Owner
2,823822.0285,250000,120000,First Owner
5,507648.5144,600000,120000,First Owner
8,383616.7757,285000,75000,Second Owner
11,242653.8077,350000,57035,First Owner
9,298903.3151,170000,70000,Third Owner
5,507648.5144,229999,45000,First Owner
7,441215.578,500000,72104,Second Owner
9,298903.3151,75000,15000,First Owner
4,643706.7143,600000,30000,First Owner
9,298903.3151,220000,80000,First Owner
11,242653.8077,150000,164000,Second Owner
14,153494.2184,65000,124439,Second Owner
14,153494.2184,120000,77000,Second Owner
6,518887.0548,240000,90000,First Owner
3,736892.2615,390000,30000,First Owner
8,383616.7757,180000,50000,First Owner
8,383616.7757,320000,80000,Second Owner
2,823822.0285,310000,5000,First Owner
2,823822.0285,420000,24000,First Owner
1,870222.1961,550000,10000,First Owner
4,643706.7143,550000,78000,Third Owner
2,823822.0285,760000,50000,First Owner
19,110666.6,43000,100000,Second Owner
2,823822.0285,250000,20000,First Owner
1,870222.1961,500000,1250,First Owner
5,507648.5144,380000,17152,First Owner
1,870222.1961,1850000,5000,First Owner
8,383616.7757,350000,77000,First Owner
12,179747.4918,195000,90000,Second Owner
9,298903.3151,225000,80000,Second Owner
5,507648.5144,1125000,65000,First Owner
9,298903.3151,133000,80000,First Owner
7,441215.578,200000,24005,First Owner
2,823822.0285,940000,20000,First Owner
6,518887.0548,400000,120000,First Owner
11,242653.8077,120000,120000,Second Owner
5,507648.5144,625000,80000,First Owner
15,114381.1897,110000,80000,First Owner
8,383616.7757,490000,100000,First Owner
11,242653.8077,140000,120000,Second Owner
9,298903.3151,175000,149000,Second Owner
15,114381.1897,90000,65000,Second Owner
11,242653.8077,275000,100000,Second Owner
9,298903.3151,300000,65000,Second Owner
2,823822.0285,270000,19000,Second Owner
10,278209.7113,130000,80000,Second Owner
5,507648.5144,275000,30000,First Owner
8,383616.7757,352000,109000,First Owner
8,383616.7757,150000,90000,First Owner
10,278209.7113,300000,110000,Second Owner
13,165466.0097,225000,120000,First Owner
6,518887.0548,600000,44000,First Owner
5,507648.5144,500000,80000,First Owner
2,823822.0285,900000,5000,First Owner
4,643706.7143,600000,61000,First Owner
9,298903.3151,450000,100000,Second Owner
11,242653.8077,270000,27633,First Owner
10,278209.7113,310000,100000,Third Owner
1,870222.1961,700000,12586,First Owner
2,823822.0285,650000,38083,First Owner
8,383616.7757,400000,55328,First Owner
8,383616.7757,425000,81632,First Owner
4,643706.7143,600000,155201,First Owner
7,441215.578,600000,93283,First Owner
11,242653.8077,300000,217871,First Owner
8,383616.7757,450000,90165,First Owner
6,518887.0548,750000,101504,First Owner
10,278209.7113,325000,86017,Second Owner
7,441215.578,900000,85036,Second Owner
14,153494.2184,180000,91086,Second Owner
7,441215.578,350000,160254,Second Owner
7,441215.578,600000,125531,Second Owner
1,870222.1961,900000,60000,First Owner
14,153494.2184,350000,100000,First Owner
7,441215.578,280000,90000,Third Owner
11,242653.8077,225000,120000,Second Owner
6,518887.0548,520000,82000,First Owner
4,643706.7143,509999,60000,First Owner
1,870222.1961,556000,24000,First Owner
6,518887.0548,225000,120000,First Owner
7,441215.578,325000,65000,First Owner
7,441215.578,365000,65000,First Owner
5,507648.5144,850000,84000,First Owner
7,441215.578,350000,75000,First Owner
13,165466.0097,225000,50000,First Owner
9,298903.3151,135000,50000,First Owner
13,165466.0097,140000,49000,First Owner
4,643706.7143,665000,560000,First Owner
5,507648.5144,275000,14365,First Owner
3,736892.2615,2750000,41000,First Owner
7,441215.578,484999,65000,First Owner
5,507648.5144,565000,65000,First Owner
7,441215.578,425000,61083,First Owner
7,441215.578,925000,75000,First Owner
8,383616.7757,565000,72000,First Owner
6,518887.0548,525000,65000,First Owner
3,736892.2615,1650000,55000,First Owner
5,507648.5144,295000,21000,Second Owner
8,383616.7757,2050000,66363,Second Owner
2,823822.0285,1475000,11700,First Owner
3,736892.2615,1100000,10000,First Owner
6,518887.0548,4400000,100000,Second Owner
3,736892.2615,850000,20000,Second Owner
2,823822.0285,1725000,23974,Second Owner
4,643706.7143,2150000,43000,First Owner
7,441215.578,450000,1000,Second Owner
2,823822.0285,3800000,10000,First Owner
7,441215.578,1580000,86000,First Owner
1,870222.1961,4950000,30000,First Owner
4,643706.7143,535000,52600,First Owner
8,383616.7757,225000,110000,Second Owner
3,736892.2615,550000,19890,First Owner
3,736892.2615,520000,10510,First Owner
4,643706.7143,239000,41000,First Owner
8,383616.7757,229999,49824,First Owner
7,441215.578,1300000,58500,First Owner
15,114381.1897,80000,56580,First Owner
8,383616.7757,385000,52000,First Owner
7,441215.578,350000,50000,Second Owner
6,518887.0548,114999,30000,First Owner
7,441215.578,380000,50000,Second Owner
25,95000,95000,100000,Second Owner
4,643706.7143,900000,35000,First Owner
8,383616.7757,200999,90000,Second Owner
6,518887.0548,229999,11451,First Owner
1,870222.1961,800000,60000,First Owner
8,383616.7757,150000,172000,Second Owner
2,823822.0285,600000,60000,First Owner
15,114381.1897,150000,150000,First Owner
11,242653.8077,150000,66000,First Owner
1,870222.1961,380000,5000,First Owner
14,153494.2184,80000,66508,Second Owner
13,165466.0097,225000,55000,Second Owner
8,383616.7757,75000,29900,First Owner
3,736892.2615,1600000,3000,First Owner
8,383616.7757,185000,85000,First Owner
9,298903.3151,425000,50000,First Owner
10,278209.7113,100000,120000,Second Owner
12,179747.4918,140000,90000,Third Owner
3,736892.2615,710000,8000,First Owner
5,507648.5144,450000,7900,First Owner
3,736892.2615,210000,50000,First Owner
4,643706.7143,270000,25000,First Owner
11,242653.8077,110000,20000,First Owner
2,823822.0285,540000,17500,First Owner
12,179747.4918,145000,25000,First Owner
7,441215.578,360000,206500,First Owner
8,383616.7757,110000,80000,First Owner
9,298903.3151,150000,186000,Second Owner
10,278209.7113,140000,60000,First Owner
1,870222.1961,925000,11000,First Owner
3,736892.2615,969999,30000,First Owner
13,165466.0097,90000,80000,Third Owner
19,110666.6,55000,60000,Third Owner
1,870222.1961,900000,15000,First Owner
9,298903.3151,135000,90000,First Owner
8,383616.7757,180000,120000,First Owner
7,441215.578,495000,100000,Second Owner
11,242653.8077,400000,138000,Third Owner
12,179747.4918,250000,110000,Second Owner
9,298903.3151,311000,70000,Second Owner
5,507648.5144,190000,70000,First Owner
9,298903.3151,311000,140000,First Owner
11,242653.8077,300000,15000,First Owner
2,823822.0285,600000,20000,First Owner
11,242653.8077,550000,100000,First Owner
5,507648.5144,600000,70000,First Owner
2,823822.0285,195000,5000,First Owner
7,441215.578,58000,27974,First Owner
2,823822.0285,183000,40000,First Owner
7,441215.578,250000,38000,First Owner
6,518887.0548,400000,35000,First Owner
8,383616.7757,409999,60000,Second Owner
16,125530.303,120000,120000,Second Owner
2,823822.0285,600000,18000,First Owner
4,643706.7143,600000,10000,First Owner
5,507648.5144,825000,90000,Third Owner
4,643706.7143,625000,80000,Second Owner
0,779843.75,700000,1400,First Owner
9,298903.3151,160000,60000,First Owner
9,298903.3151,114999,60000,Third Owner
11,242653.8077,150000,53000,First Owner
10,278209.7113,250000,100000,First Owner
8,383616.7757,390000,86000,Second Owner
5,507648.5144,650000,100000,First Owner
4,643706.7143,600000,30000,First Owner
9,298903.3151,250000,120000,First Owner
4,643706.7143,299000,50000,Second Owner
10,278209.7113,330000,124000,Second Owner
8,383616.7757,180000,100000,Third Owner
3,736892.2615,475000,42000,First Owner
5,507648.5144,325000,100000,First Owner
4,643706.7143,639000,28205,First Owner
3,736892.2615,415000,32670,First Owner
4,643706.7143,1199000,30093,First Owner
7,441215.578,525000,56228,First Owner
7,441215.578,425000,59319,First Owner
4,643706.7143,699000,39503,First Owner
7,441215.578,325000,35299,First Owner
9,298903.3151,275000,51687,First Owner
9,298903.3151,269000,76259,First Owner
7,441215.578,399000,44049,First Owner
3,736892.2615,475000,45087,First Owner
9,298903.3151,249000,41125,First Owner
6,518887.0548,1549000,42215,First Owner
9,298903.3151,254999,54206,First Owner
8,383616.7757,269000,52547,First Owner
6,518887.0548,665000,59110,First Owner
6,518887.0548,299000,54565,First Owner
10,278209.7113,265000,47564,Second Owner
10,278209.7113,211000,45143,Second Owner
7,441215.578,599000,61624,Second Owner
13,165466.0097,55000,195000,Third Owner
6,518887.0548,550000,50000,First Owner
2,823822.0285,4000000,68000,First Owner
10,278209.7113,220000,120000,Second Owner
1,870222.1961,500000,20000,First Owner
10,278209.7113,140000,30000,First Owner
7,441215.578,325000,60000,First Owner
10,278209.7113,210000,90000,Third Owner
12,179747.4918,110000,90000,Second Owner
1,870222.1961,1200000,25000,First Owner
3,736892.2615,229999,40000,First Owner
14,153494.2184,165000,132000,First Owner
2,823822.0285,525000,10980,First Owner
2,823822.0285,325000,20629,First Owner
2,823822.0285,1500000,50000,First Owner
5,507648.5144,400000,30000,First Owner
5,507648.5144,550000,69782,First Owner
17,78315.78947,98000,54000,First Owner
7,441215.578,900000,63654,First Owner
3,736892.2615,700000,60000,First Owner
5,507648.5144,890000,52000,First Owner
5,507648.5144,490000,59385,First Owner
5,507648.5144,525000,70378,First Owner
7,441215.578,330000,55425,First Owner
7,441215.578,550000,78413,Second Owner
2,823822.0285,790000,40890,First Owner
5,507648.5144,350000,34823,Second Owner
3,736892.2615,1700000,75000,First Owner
3,736892.2615,750000,55545,First Owner
6,518887.0548,409999,56541,First Owner
4,643706.7143,220000,43700,First Owner
11,242653.8077,68000,120000,Second Owner
3,736892.2615,290000,20000,First Owner
6,518887.0548,600000,27483,First Owner
1,870222.1961,470000,8000,First Owner
12,179747.4918,150000,30000,First Owner
6,518887.0548,180000,56207,Second Owner
14,153494.2184,80000,70000,First Owner
2,823822.0285,875000,1440,First Owner
1,870222.1961,300000,50000,First Owner
3,736892.2615,2800000,20000,First Owner
3,736892.2615,1330000,91195,First Owner
9,298903.3151,220000,63657,First Owner
7,441215.578,250000,60000,First Owner
4,643706.7143,919999,75000,First Owner
7,441215.578,380000,97248,First Owner
8,383616.7757,450000,46000,First Owner
4,643706.7143,770000,10000,First Owner
2,823822.0285,550000,80000,First Owner
9,298903.3151,320000,100000,Second Owner
7,441215.578,400000,35000,First Owner
3,736892.2615,450000,50000,First Owner
9,298903.3151,220000,90000,Third Owner
8,383616.7757,400000,150000,Second Owner
7,441215.578,530000,89000,Second Owner
6,518887.0548,390000,60000,Second Owner
8,383616.7757,185000,100000,Second Owner
8,383616.7757,300000,100000,Second Owner
6,518887.0548,575000,90000,Second Owner
6,518887.0548,300000,75000,First Owner
3,736892.2615,425000,36000,First Owner
4,643706.7143,350000,12000,First Owner
3,736892.2615,550000,12997,First Owner
3,736892.2615,500000,40000,First Owner
5,507648.5144,600000,60000,First Owner
7,441215.578,300000,25000,Second Owner
2,823822.0285,1150000,26430,First Owner
5,507648.5144,475000,24600,First Owner
9,298903.3151,260000,28481,First Owner
7,441215.578,350000,100000,First Owner
7,441215.578,750000,41988,First Owner
11,242653.8077,180000,30375,First Owner
3,736892.2615,350000,7658,First Owner
3,736892.2615,611000,34400,First Owner
3,736892.2615,325000,18500,First Owner
8,383616.7757,225000,48000,First Owner
6,518887.0548,300000,28942,First Owner
3,736892.2615,400000,50000,Second Owner
8,383616.7757,711000,53600,First Owner
5,507648.5144,851000,53652,First Owner
6,518887.0548,500000,25000,First Owner
13,165466.0097,250000,80000,Second Owner
3,736892.2615,150000,50000,First Owner
4,643706.7143,610000,15000,Second Owner
2,823822.0285,450000,5000,First Owner
3,736892.2615,744000,106000,First Owner
12,179747.4918,120000,100000,Third Owner
4,643706.7143,220000,60000,Third Owner
3,736892.2615,370000,82000,First Owner
17,78315.78947,55000,35000,Second Owner
7,441215.578,125000,205000,First Owner
9,298903.3151,260000,125000,Third Owner
5,507648.5144,350000,130000,First Owner
8,383616.7757,170000,97000,Second Owner
5,507648.5144,350000,90000,Second Owner
11,242653.8077,250000,60000,Third Owner
7,441215.578,170000,60000,First Owner
2,823822.0285,1300000,35000,First Owner
1,870222.1961,550000,25000,First Owner
3,736892.2615,400000,15000,First Owner
9,298903.3151,120000,20000,First Owner
10,278209.7113,275000,70000,First Owner
